id,name,price,picture,details,manufacturer,item_code,color,material
1,Disc Lichen,59.35,https://robohash.org/veldolorsapiente.bmp?size=50x50&set=set1,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,METFORMIN HYDROCHLORIDE,62756-142,Fuscia,Physciaceae
2,Desert Baccharis,30.73,https://robohash.org/iddoloremquenon.bmp?size=50x50&set=set1,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,Neobryxol Ultra,45984-0003,Violet,Asteraceae
3,Redclaws,26.06,https://robohash.org/consequaturminusquaerat.jpg?size=50x50&set=set1,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,Prazosin Hydrochloride,52125-605,Pink,Grossulariaceae
4,Tracy s Desertparsley,63.46,https://robohash.org/illumrepellatut.png?size=50x50&set=set1,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,Ephedrine,0409-3073,Goldenrod,Apiaceae
5,Highbush Blueberry,74.57,https://robohash.org/aliquamatquenihil.png?size=50x50&set=set1,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,hydrochlorothiazide,29300-130,Maroon,Ericaceae
6,Appalachian Quillwort,17.03,https://robohash.org/beataemolestiasvero.png?size=50x50&set=set1,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,MyOxin,58809-333,Puce,Isoetaceae
7,Starry Rosinweed,20.53,https://robohash.org/etvoluptascorporis.bmp?size=50x50&set=set1,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,Escitalopram Oxalate,65862-248,Indigo,Asteraceae
8,Parish s Monkeyflower,46.01,https://robohash.org/exercitationemplaceatcorrupti.png?size=50x50&set=set1,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Naturasil,10893-335,Blue,Scrophulariaceae
9,Warnock s Snakewood,65.18,https://robohash.org/rerumexpeditarecusandae.png?size=50x50&set=set1,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,DawnMist Deodorant Bar No. 1 1/2,55504-0112,Blue,Rhamnaceae
10,Puckhout,14.55,https://robohash.org/quinisipraesentium.bmp?size=50x50&set=set1,urna ut tellus nulla ut erat id mauris vulputate elementum nullam,Amiodarone Hydrochloride,0615-4545,Goldenrod,Polygonaceae
11,Purple Pricklypear,70.32,https://robohash.org/utenimvelit.jpg?size=50x50&set=set1,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,Azor,65597-112,Green,Cactaceae
12,Koolau Range Peperomia,97.91,https://robohash.org/exercitationemdolorummollitia.jpg?size=50x50&set=set1,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Concept DHA,52747-621,Red,Piperaceae
13,Chinese Red Pine,75.26,https://robohash.org/illoaspernaturquos.jpg?size=50x50&set=set1,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,Oxytocin,63323-012,Mauv,Pinaceae
14,Blackthread Lichen,68.54,https://robohash.org/ipsaquisquamharum.bmp?size=50x50&set=set1,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,Nafcillin,36000-175,Purple,Placynthiaceae
15,Bushy Bluestem,3.68,https://robohash.org/rationetemporedolor.jpg?size=50x50&set=set1,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,Secret Roll-On,37000-135,Violet,Poaceae
16,Burmese Lacquer,94.01,https://robohash.org/solutareiciendisaut.bmp?size=50x50&set=set1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,BABY COUGH SYRUP,59779-370,Crimson,Anacardiaceae
17,Douglas  Silver Lupine,64.21,https://robohash.org/maioresmolestiaeet.jpg?size=50x50&set=set1,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,Lamotrigine,65841-687,Puce,Fabaceae
18,Netleaf Willow,44.12,https://robohash.org/remsolutapraesentium.bmp?size=50x50&set=set1,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,LBEL MAXIMUM COMFORT AND LONG-LASTING FOUNDATION SPF 10,13537-270,Pink,Salicaceae
19,Halimodendron,7.33,https://robohash.org/idprovidentnecessitatibus.png?size=50x50&set=set1,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,Cold and Sinus Maximum Strength,59779-651,Crimson,Fabaceae
20,Eastern Featherbells,42.06,https://robohash.org/ducimusdignissimostemporibus.bmp?size=50x50&set=set1,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,Sucralfate,42291-757,Maroon,Liliaceae
